0,9.53674316406e-07
1,9.53674316406e-07
2,1.90734863281e-06
3,2.14576721191e-06
4,2.14576721191e-06
5,6.91413879395e-06
6,5.00679016113e-06
7,8.10623168945e-06
8,1.31130218506e-05
9,2.00271606445e-05
10,3.19480895996e-05
11,5.19752502441e-05
12,8.39233398438e-05
13,0.000137090682983
14,0.000218152999878
15,0.000366926193237
16,0.000571012496948
17,0.000940084457397
18,0.00152707099915
19,0.002445936203
20,0.00401902198792
21,0.00699305534363
22,0.010486125946
23,0.0114789009094
24,0.015065908432
25,0.0244781970978
26,0.0383009910583
27,0.0612790584564
28,0.0985791683197
29,0.157538175583
30,0.256227016449
31,0.411339998245
32,0.695759057999
33,1.12566113472
34,1.83409404755
